timestamp_15m,temp,humidity,HLX_L18_AHU_Header_Low_Zone_Differential_Pressure,HLX_B1_Chiller_BTU_METER_Cooling_Capacity,HLX_B1_Chiller_DPM_MSB_IN_1_kW,HLX_B1_Chiller_DPM_MSB_IN_2_kW,kwh_15m,kwh_15m_exact,year,month,day,hour,minute,weekday,holiday
2025-12-01 14:15:00,91.4,49.39,0.156487002968788,497.603759765625,176.273620605469,145.38720703125,80.41520690917974,,2025,12,1,14,15,0,0
2025-12-01 14:30:00,91.4,49.39,0.198425993323326,514.664428710938,151.799240112305,147.235656738281,74.7587242126465,,2025,12,1,14,30,0,0
2025-12-01 14:45:00,93.2,52.75,0.207190006971359,500.447204589844,179.917953491211,146.151916503906,81.51746749877924,,2025,12,1,14,45,0,0
2025-12-01 15:00:00,93.2,47.56,0.175265997648239,506.134094238281,148.938690185547,145.884490966797,73.705795288086,,2025,12,1,15,0,0,0
2025-12-01 15:15:00,93.2,49.64,0.226594001054764,517.507934570313,184.412780761719,146.438705444336,82.71287155151376,,2025,12,1,15,15,0,0
2025-12-01 15:30:00,93.2,49.64,0.202180996537209,508.9775390625,150.549041748047,146.847015380859,74.3490142822265,,2025,12,1,15,30,0,0
2025-12-01 15:45:00,93.2,52.75,0.180899992585182,511.820983886719,184.134048461914,147.516357421875,82.91260147094725,,2025,12,1,15,45,0,0
2025-12-01 16:00:00,93.2,47.56,0.175890997052193,508.9775390625,151.796752929688,147.524353027344,74.83027648925801,,2025,12,1,16,0,0,0
2025-12-01 16:15:00,93.2,49.64,0.175265997648239,494.760314941406,177.780548095703,147.835479736328,81.40400695800776,,2025,12,1,16,15,0,0
2025-12-01 16:30:00,93.2,49.64,0.207190006971359,497.603759765625,144.464111328125,147.066818237305,72.88273239135751,,2025,12,1,16,30,0,0
2025-12-01 16:45:00,91.4,52.5,0.227219998836517,503.290649414063,152.645431518555,146.424011230469,74.767360687256,,2025,12,1,16,45,0,0
2025-12-01 17:00:00,91.4,58.21,0.175264999270439,508.9775390625,185.555236816406,147.497192382813,83.26310729980474,,2025,12,1,17,0,0,0
2025-12-01 17:15:00,91.4,52.5,0.202806994318962,503.290649414063,177.191680908203,148.144622802734,81.33407592773426,,2025,12,1,17,15,0,0
2025-12-01 17:30:00,91.4,52.5,0.203433007001877,503.290649414063,147.11376953125,148.948501586914,74.015567779541,,2025,12,1,17,30,0,0
2025-12-01 17:45:00,89.6,55.55,0.174014002084732,503.290649414063,186.272903442383,148.513412475586,83.69657897949224,,2025,12,1,17,45,0,0
2025-12-01 18:00:00,89.6,61.59,0.779305994510651,460.638916015625,157.363159179688,161.797485351563,79.79016113281276,,2025,12,1,18,0,0,0
2025-12-01 18:15:00,87.80000000000001,58.8,0.0269159991294146,0.0,3.3844850063324,6.36790084838867,2.4380964636802673,,2025,12,1,18,15,0,0
2025-12-01 18:30:00,87.80000000000001,58.8,0.932663977146149,0.0,3.38932394981384,14.7922954559326,4.54540485143661,,2025,12,1,18,30,0,0
2025-12-01 18:45:00,86.0,66.17,0.951443016529083,2.84345006942749,3.37776494026184,14.7650213241577,4.535696566104885,,2025,12,1,18,45,0,0
2025-12-01 19:00:00,86.0,69.66,0.957702994346619,0.0,3.35043501853943,14.7882652282715,4.534675061702733,,2025,12,1,19,0,0,0
2025-12-01 19:15:00,84.2,70.1,0.94268000125885,0.0,3.36374998092651,14.7771892547607,4.535234808921802,,2025,12,1,19,15,0,0
2025-12-01 19:30:00,84.2,70.1,0.937672019004822,0.0,3.35072708129883,14.7939329147339,4.536164999008182,,2025,12,1,19,30,0,0
2025-12-01 19:45:00,84.2,74.46,0.977733016014099,0.0,3.77904391288757,14.8077831268311,4.646706759929668,,2025,12,1,19,45,0,0
2025-12-01 20:00:00,84.2,74.46,0.949566006660461,48.3386497497559,3.74094104766846,114.475692749023,29.554158449172863,,2025,12,1,20,0,0,0
2025-12-01 20:15:00,82.4,74.29,0.0338010005652905,0.0,3.79953598976135,6.45137596130371,2.562727987766265,,2025,12,1,20,15,0,0
2025-12-01 20:30:00,82.4,74.29,-0.0306710004806519,0.0,3.32261490821838,6.45337581634521,2.4439976811408974,,2025,12,1,20,30,0,0
2025-12-01 20:45:00,82.4,78.91,-0.00563400005921721,0.0,3.36185908317566,6.43191003799438,2.44844228029251,,2025,12,1,20,45,0,0
2025-12-01 21:00:00,82.4,83.04,0.0281680002808571,0.0,3.36345291137695,6.44790315628052,2.4528390169143677,,2025,12,1,21,0,0,0
2025-12-01 21:15:00,82.4,78.91,0.00125199998728931,0.0,3.36069297790527,6.47717714309692,2.4594675302505475,,2025,12,1,21,15,0,0
2025-12-01 21:30:00,82.4,78.91,-0.00876399967819452,0.0,3.36442899703979,6.43889284133911,2.4508304595947252,,2025,12,1,21,30,0,0
2025-12-01 21:45:00,82.4,78.91,-0.00626000016927719,0.0,3.38051199913025,6.45638513565063,2.45922428369522,,2025,12,1,21,45,0,0
2025-12-01 22:00:00,82.4,78.91,-0.00625899992883205,0.0,3.3850519657135,6.43815803527832,2.4558025002479553,,2025,12,1,22,0,0,0
2025-12-01 22:15:00,82.4,78.91,-0.00626000016927719,0.0,3.79701709747314,6.44830417633057,2.5613303184509277,,2025,12,1,22,15,0,0
2025-12-01 22:30:00,82.4,78.91,-0.0100149996578693,0.0,3.81050705909729,6.47697591781616,2.5718707442283626,,2025,12,1,22,30,0,0
2025-12-01 22:45:00,80.6,83.67,-0.00438199983909726,0.0,3.75063705444336,6.49304485321045,2.5609204769134526,,2025,12,1,22,45,0,0
2025-12-01 23:00:00,82.03999999999999,79.6,0.000627000001259148,0.0,3.33516407012939,6.48969697952271,2.456215262413025,,2025,12,1,23,0,0,0
2025-12-01 23:15:00,80.6,83.67,-0.0143969999626279,0.0,3.31687188148499,6.48334693908691,2.450054705142975,,2025,12,1,23,15,0,0
2025-12-01 23:30:00,80.6,83.67,0.0388090014457703,0.0,3.34008598327637,6.44420480728149,2.446072697639465,,2025,12,1,23,30,0,0
2025-12-01 23:45:00,,,0.0212830007076263,0.0,3.3281888961792,6.48028182983398,2.452117681503295,,2025,12,1,23,45,0,0
2025-12-02 00:00:00,80.6,83.67,-0.0131449997425079,0.0,3.26439094543457,6.48168611526489,2.436519265174865,,2025,12,2,0,0,1,0
2025-12-02 00:15:00,80.6,83.67,-0.00688599981367588,0.0,3.34257006645203,6.45452117919922,2.449272811412812,,2025,12,2,0,15,1,0
